"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Vendor","Vendor P/N","Manufacturer P/N","Description"
"C1,C2,C3,C4,C5,C7,C10,C12,C14,C16,C18,C20,C21,C22,C23,C24,C25,C26,C27","19","100n","","","","Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder","","","","","Unpolarized capacitor"
"C6,C11,C15,C19","4","4.7u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","","","","","Unpolarized capacitor"
"C8,C9,C13,C17","4","10u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","","","","","Unpolarized capacitor"
"J1","1","F31L-1A7H1-11030","","","","kmm-pmask:AMPHENOL_F31L-1A7H1-11030","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/flex/ffc_fpc_050mm_f31l.pdf","DigiKey","609-F31L-1A7H1-11030CT-ND","F31L-1A7H1-11030","CONN FFC BOTTOM 30POS 0.5MM R/A"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12","12","4.7k","","","","Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder","","","","","Resistor,Resistor, small symbol"
"TP1","1","I2C0 SDA","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP2","1","I2C0 SCL","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP3","1","I2C1 SDA","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP4","1","I2C1 SCL","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP5","1","I2C2 SDA","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP6","1","I2C2 SCL","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP7","1","I2C3 SDA","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP8","1","I2C3 SCL","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP9","1","I2C M SDA","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP10","1","I2C M SCL","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP11","1","5V","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP12","1","3.3V","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP13","1","1.8V","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"TP14,TP15,TP16,TP17","4","GND","","","","TestPoint:TestPoint_Pad_D1.0mm","","","","","test point"
"U1,U5,U6,U7","4","MS5611-01BA","","","","Package_LGA:LGA-8_3x5mm_P1.25mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5611-01BA03&DocType=Data+Sheet&DocLang=English","DigiKey","223-1622-1-ND","MS561101BA03-50","Barometric pressure sensor, 10cm resolution, 10 to 1200 mbar, I2C and SPI interface up to 20MHz, LGA-8"
"U2,U8,U9,U10","4","MAX30101EFD_T","","","","kmm-pmask:MAX30101EFD_T","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX30101.pdf","DigiKey","MAX30101EFD+TCT-ND","MAX30101EFD+T","Pulse Oximeter and Heart Rate Sensor Digital Output 1.8V 14-Pin OLGA T/R"
"U3,U11,U12","3","SHT40-AD1B-R3","","","","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","https://sensirion.com/media/documents/33FD6951/67EB9032/HT_DS_Datasheet_SHT4x_5.pdf","DigiKey","1649-SHT40-AD1B-R3CT-ND","SHT40-AD1B-R3","Digital Humidity and Temperature Sensor, ±1%RH, ±0.1°C, I2C, 1.08-3.6V, 16bit, DFN-4"
"U4,U13,U14","3","TMP117MAIDRVR","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tmp117.pdf","DigiKey","296-51835-1-ND","TMP117MAIDRVR","Digital Temperature Sensor with I2C/SMBus Interface, 16 bits, ±0.3°C, one-shot conversion, alert, nist traceable, EEPROM, WSON"
"U15","1","TCA9546APW","","","","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","https://www.ti.com/lit/ds/symlink/tca9546a.pdf","DigiKey","296-40578-1-ND","TCA9546APWR","I2C SMBus Hub, 4 Channels, Reset, Multiple Addresses,TSSOP-16"
